Tourist,City,Country
1,Barcelona,Spain
2,Vienna,Austria
3,Paris,France
4,Paris,France
5,Paris,France
6,Munich,Germany
7,Malaga,Spain
8,Berlin,Germany
9,Milan,Italy
10,Vienna,Austria
11,Barcelona,Spain
12,Paris,France
13,Barcelona,Spain
14,Barcelona,Spain
15,Barcelona,Spain
16,Barcelona,Spain
17,Paris,France
18,Warsaw,Poland
19,Vienna,Austria
20,Rome,Italy
21,Rome,Italy
22,Berlin,Germany
23,Madrid,Spain
24,Amsterdam,Netherlands
25,Amsterdam,Netherlands
26,Paris,France
27,Paris,France
28,Barcelona,Spain
29,Barcelona,Spain
30,Berlin,Germany
31,Paris,France
32,Paris,France
33,Budapest,Hungary
34,Milan,Italy
35,Paris,France
36,Paris,France
37,Munich,Germany
38,Malaga,Spain
39,Barcelona,Spain
40,Madrid,Spain
41,Milan,Italy
42,Malaga,Spain
43,Paris,France
44,Vienna,Austria
45,Rome,Italy
46,Paris,France
47,Amsterdam,Netherlands
48,Paris,France
49,Rome,Italy
50,Paris,France
51,Rome,Italy
52,Rome,Italy
53,Paris,France
54,Munich,Germany
55,Barcelona,Spain
56,Munich,Germany
57,Prague,Czech Republic
58,Barcelona,Spain
59,Paris,France
60,Madrid,Spain
61,Barcelona,Spain
62,Paris,France
63,Madrid,Spain
64,Paris,France
65,Milan,Italy
66,Vienna,Austria
67,Munich,Germany
68,Malaga,Spain
69,Barcelona,Spain
70,Madrid,Spain
71,Madrid,Spain
72,Barcelona,Spain
73,Madrid,Spain
74,Rome,Italy
75,Milan,Italy
76,Berlin,Germany
77,Barcelona,Spain
78,Paris,France
79,Milan,Italy
80,Paris,France
81,Paris,France
82,Barcelona,Spain
83,Barcelona,Spain
84,Rome,Italy
85,Barcelona,Spain
86,Rome,Italy
87,Malaga,Spain
88,Madrid,Spain
89,Paris,France
90,Barcelona,Spain
91,Paris,France
92,Vienna,Austria
93,Paris,France
94,Barcelona,Spain
95,Barcelona,Spain
96,Paris,France
97,Zurich,Switzerland
98,Malaga,Spain
99,Milan,Italy
100,Budapest,Hungary
101,Paris,France
102,Barcelona,Spain
103,Paris,France
104,Rome,Italy
105,Budapest,Hungary
106,Milan,Italy
107,Rome,Italy
108,Barcelona,Spain
109,Milan,Italy
110,Rome,Italy
111,Berlin,Germany
112,Barcelona,Spain
113,Rome,Italy
114,Berlin,Germany
115,Berlin,Germany
116,Berlin,Germany
117,Berlin,Germany
118,Paris,France
119,Malaga,Spain
120,Rome,Italy
121,Barcelona,Spain
122,Barcelona,Spain
123,Barcelona,Spain
124,Milan,Italy
125,Barcelona,Spain
126,Vienna,Austria
127,Barcelona,Spain
128,Barcelona,Spain
129,Rome,Italy
130,Rome,Italy
131,Munich,Germany
132,Barcelona,Spain
133,Barcelona,Spain
134,Milan,Italy
135,Madrid,Spain
136,Barcelona,Spain
137,Milan,Italy
138,Rome,Italy
139,Milan,Italy
140,Paris,France
141,Paris,France
142,Paris,France
143,Vienna,Austria
144,Madrid,Spain
145,Paris,France
146,Milan,Italy
147,Rome,Italy
148,Rome,Italy
149,Munich,Germany
150,Rome,Italy
151,Rome,Italy
152,Barcelona,Spain
153,Munich,Germany
154,Madrid,Spain
155,Barcelona,Spain
156,Rome,Italy
157,Rome,Italy
158,Rome,Italy
159,Milan,Italy
160,Malaga,Spain
161,Barcelona,Spain
162,Milan,Italy
163,Rome,Italy
164,Munich,Germany
165,Malaga,Spain
166,Milan,Italy
167,Barcelona,Spain
168,Rome,Italy
169,Barcelona,Spain
170,Madrid,Spain
171,Barcelona,Spain
172,Zurich,Switzerland
173,Rome,Italy
174,Rome,Italy
175,Munich,Germany
176,Madrid,Spain
177,Rome,Italy
178,Paris,France
179,Malaga,Spain
180,Paris,France
181,Zurich,Switzerland
182,Barcelona,Spain
183,Berlin,Germany
184,Madrid,Spain
185,Rome,Italy
186,Paris,France
187,Barcelona,Spain
188,Paris,France
189,Malaga,Spain
190,Rome,Italy
191,Rome,Italy
192,Barcelona,Spain
193,Zurich,Switzerland
194,Munich,Germany
195,Prague,Czech Republic
196,Prague,Czech Republic
197,Milan,Italy
198,Berlin,Germany
199,Munich,Germany
200,Warsaw,Poland
201,Barcelona,Spain
202,Paris,France
203,Paris,France
204,Barcelona,Spain
205,Paris,France
206,Madrid,Spain
207,Berlin,Germany
208,Paris,France
209,Paris,France
210,Paris,France
211,Paris,France
212,Paris,France
213,Rome,Italy
214,Malaga,Spain
215,Paris,France
216,Paris,France
217,Berlin,Germany
218,Paris,France
219,Paris,France
220,Paris,France
221,Vienna,Austria
222,Paris,France
223,Barcelona,Spain
224,Berlin,Germany
225,Paris,France
226,Rome,Italy
227,Malaga,Spain
228,Paris,France
229,Budapest,Hungary
230,Rome,Italy
231,Rome,Italy
232,Barcelona,Spain
233,Paris,France
234,Rome,Italy
235,Barcelona,Spain
236,Rome,Italy
237,Malaga,Spain
238,Madrid,Spain
239,Amsterdam,Netherlands
240,Prague,Czech Republic
241,Paris,France
242,Rome,Italy
243,Malaga,Spain
244,Berlin,Germany
245,Malaga,Spain
246,Barcelona,Spain
247,Malaga,Spain
248,Barcelona,Spain
249,Malaga,Spain
250,Milan,Italy
251,Barcelona,Spain
252,Madrid,Spain
253,Paris,France
254,Rome,Italy
255,Barcelona,Spain
256,Paris,France
257,Paris,France
258,Berlin,Germany
259,Rome,Italy
260,Paris,France
261,Paris,France
262,Zurich,Switzerland
263,Paris,France
264,Barcelona,Spain
265,Warsaw,Poland
266,Milan,Italy
267,Barcelona,Spain
268,Barcelona,Spain
269,Milan,Italy
270,Madrid,Spain
271,Paris,France
272,Rome,Italy
273,Paris,France
274,Barcelona,Spain
275,Munich,Germany
276,Milan,Italy
277,Paris,France
278,Rome,Italy
279,Vienna,Austria
280,Milan,Italy
281,Milan,Italy
282,Paris,France
283,Barcelona,Spain
284,Madrid,Spain
285,Milan,Italy
286,Paris,France
